product_category; value; product_name; vendor; phone; customer_name; zip_code; city; street
echo; 76; kinfolk; letterpress; (920)109-51-78; Анастасия Селезнева; 451592; Брянск; площадь Клубная, 836
leggings; 98; forage; pour-over; (920)205-51-78; Нестеров Арсений Викторович; 622678; Челябинск; Суворова ул., 283
Yuccie; 37; banjo; mustache; (986)040-78-14; Корнилов Лука; 577333; Ульяновск; улица Кирова, 156
cliche; 89; 8-bit; flannel; (916)250-28-44; Кириллов Герман Александрович; 796154; Тверь; площадь Калинина, 969
literally; 92; forage; readymade; (987)808-45-62; Симонова Нина; 306696; Сочи; Ломоносова проспект, 102
ramps; 84; viral; tattooed; (965)904-27-83; Наталья Игоревна Капустина; 600173; Ставрополь; Цветочная ул., 602
yr; 40; bushwick; sriracha; (971)303-65-55; Виктория Денисовна Блохина; 808966; Рязань; площадь Больничная, 869
truffaut; 70; flannel; umami; (956)945-66-62; Варвара Киселева; 758840; Волгоград; Энергетиков проспект, 111
kitsch; 64; authentic; bitters; (939)786-80-55; Быков Игорь; 535971; Кемерово; ул. Свердлова, 836
vegan; 1; chillwave; chambray; (980)425-79-85; Никифорова Зоя Михайловна; 805222; Хабаровск; ул. Мичурина, 567
chartreuse; 78; kinfolk; beard; (973)871-20-30; Антонида Михеева; 174078; Астрахань; пл. Береговая, 599
knausgaard; 51; chambray; chicharrones; (921)299-23-63; Прохоров Валентин Юрьевич; 690150; Чебоксары; проспект Мичурина, 648
austin; 51; actually; vegan; (919)848-08-89; Оксана Денисовна Некрасова; 695304; Тула; пл. Дорожная, 804
vegan; 17; vegan; cardigan; (973)039-93-66; Александр Горбачев; 796880; Хабаровск; проспект Горького, 594
beard; 71; retro; microdosing; (968)510-12-24; Агафонов Никита Геннадьевич; 677165; Рязань; Больничная проспект, 778
williamsburg; 87; goth; mumblecore; (988)442-92-40; Маслова Зоя Ярославовна; 534720; Челябинск; пл. Спортивная, 242
franzen; 99; migas; distillery; (919)143-93-85; Агафонов Валентин Аркадьевич; 710020; Екатеринбург; проспект Комарова, 983
austin; 55; sriracha; asymmetrical; (919)582-36-00; Антонина Кононова; 583037; Тольятти; Дружбы пр., 107
cold-pressed; 94; hashtag; pug; (992)912-38-96; Анатолий Арсеньевич Рыбаков; 651252; Магнитогорск; пл. Садовая, 130
+1; 11; cleanse; retro; (943)265-21-83; Антон Сергеевич Фролов; 120952; Белгород; Лермонтова проспект, 625
kitsch; 71; irony; crucifix; (915)076-05-01; Фомичев Алексей Ярославович; 959317; Омск; Шевченко проспект, 769
ramps; 10; pickled; portland; (993)779-92-64; Владислав Алексеевич Крылов; 738216; Уфа; пл. Дзержинского, 532
gentrify; 39; swag; 8-bit; (969)621-62-01; Корнилова Анастасия Данииловна; 685769; Омск; Береговая пр., 898
meditation; 6; meditation; microdosing; (955)110-61-51; Королева Ольга Андреевна; 174307; Красноярск; Березовая улица, 500
VHS; 61; gentrify; mumblecore; (958)838-53-34; Ольга Васильевна Родионова; 353031; Киров; Чехова проспект, 430
tattooed; 55; yr; cleanse; (917)227-55-82; Денис Козлов; 992311; Ярославль; Кирова площадь, 479
church-key; 89; venmo; hashtag; (914)331-89-80; Тимофеева Светлана; 960874; Хабаровск; проспект речень улиц, 810
brunch; 55; cliche; farm-to-table; (964)965-98-72; Лаврентий Зыков; 818437; Барнаул; проспект Труда, 537
hashtag; 32; leggings; forage; (965)658-69-22; Зинаида Николаевна Кулагина; 761791; Астрахань; Заречная пр., 943
marfa; 68; ramps; street; (983)428-59-20; Никифорова Анжела; 621100; Красноярск; Железнодорожная улица, 806
literally; 77; Yuccie; narwhal; (910)920-01-89; Антонида Вячеславовна Исакова; 898541; Тверь; площадь Почтовая, 469
narwhal; 16; semiotics; ugh; (996)915-00-36; Кира Кузьмина; 311189; Томск; пр. Суворова, 348
pour-over; 15; Godard; cold-pressed; (996)620-36-55; Роман Игоревич Савельев; 355979; Иркутск; Восточная ул., 887
austin; 36; mustache; irony; (993)818-87-88; Максим Денисов; 813215; Хабаровск; Береговая пр., 147
plaid; 80; franzen; leggings; (972)634-75-36; Василиса Владиславовна Воробьева; 796513; Ставрополь; пл. Фрунзе, 207
biodiesel; 71; vegan; twee; (982)675-88-66; Фомин Евгений Никитич; 279235; Пермь; Маяковского улица, 517
pabst; 109; narwhal; truffaut; (919)209-61-77; Кира Емельянова; 947026; Санкт-Петербург; Луговая площадь, 849
skateboard; 58; letterpress; mumblecore; (953)187-38-46; Марина Трофимова; 435708; Челябинск; ул. Совхозная, 889
cred; 82; schlitz; pabst; (980)484-13-86; Владислав Сергеевич Лобанов; 277696; Иваново; площадь Весенняя, 930
cold-pressed; 44; post-ironic; pabst; (913)502-87-81; Гордеева Алла Вячеславовна; 597754; Тольятти; Трактовая улица, 854
Yuccie; 9; kitsch; 8-bit; (937)157-66-47; Агафонов Георгий; 175284; Ростов-на-Дону; проспект Горького, 970
hammock; 7; truffaut; distillery; (997)105-83-64; Захарова Александра Вячеславовна; 529467; Махачкала; пл. Лесная, 919
YOLO; 63; roof; portland; (947)447-90-16; Илья Матвеевич Шилов; 489380; Кемерово; Лесной ул., 780
selfies; 0; hella; asymmetrical; (987)830-23-40; Василий Кузьмин; 244813; Новокузнецк; Суворова площадь, 202
try-hard; 85; skateboard; umami; (961)158-73-14; Казакова Елена; 726276; Нижний Новгород; Северная пл., 471
chicharrones; 13; chicharrones; gluten-free; (985)794-64-97; Дарья Владимировна Шилова; 553463; Ярославль; Зеленая улица, 863
synth; 4; Godard; brooklyn; (995)427-79-22; Раиса Валентиновна Ермакова; 622519; Новосибирск; Весенняя ул., 672
selvage; 43; austin; tattooed; (995)187-38-56; Жданова Жанна Игнатьевна; 244824; Новосибирск; улица Цветочная, 856
shoreditch; 98; offal; pour-over; (950)194-48-94; Федотова Таисия Александровна; 295152; Москва; улица Комарова, 865
kinfolk; 25; pickled; vegan; (961)149-05-66; Николай Савельев; 154573; Брянск; Горького ул., 240
lomo; 0; knausgaard; +1; (950)377-55-33; Кулагина Мария; 695090; Иркутск; проспект Партизанская, 443
lomo; 71; portland; mustache; (956)621-72-38; Белова Алёна Геннадьевна; 720881; Курск; пл. Кирова, 291
blog; 30; pabst; distillery; (953)800-04-57; Беляев Георгий Олегович; 562221; Курск; пл. Мира, 939
sriracha; 47; lumbersexual; flexitarian; (990)117-55-24; Елизавета Романовна Афанасьева; 299722; Кемерово; площадь Гагарина, 240
marfa; 47; normcore; banjo; (959)847-67-57; Виталий Большаков; 294159; Омск; Победы пл., 229
flexitarian; 57; vice; cleanse; (915)168-49-15; Артемьев Герман; 842913; Курск; Цветочная пл., 787
authentic; 670; meh; semiotics; (942)060-36-17; Емельянов Арсений Борисович; 317994; Санкт-Петербург; Трудовая улица, 906
offal; 28; ramps; franzen; (913)641-35-46; Петухов Виталий Романович; 451541; Иваново; Юбилейная площадь, 658
authentic; 40; twee; flexitarian; (956)354-10-74; Елена Евсеева; 891058; Сочи; Южная проспект, 892
pug; 51; vegan; cray; (965)773-22-77; Герасимова Марина Владимировна; 140211; Самара; улица Красная, 441
health; 68; celiac; tattooed; (929)425-65-70; Игнатов Лаврентий; 979412; Краснодар; пр. Пролетарская, 797
salvia; 95; VHS; butcher; (958)674-13-64; Игнатий Иванович Ларионов; 980620; Рязань; Школьная ул., 145
vinyl; 46; mlkshk; church-key; (924)890-37-84; Белякова Арина Юрьевна; 542870; Красноярск; пр. Спортивная, 196
polaroid; 48; tofu; meggings; (974)464-42-35; Давыдова Мария Эдуардовна; 635396; Омск; ул. Шевченко, 641
biodiesel; 99; occupy; Thundercats; (977)764-62-51; Юлия Шубина; 618855; Ульяновск; пр. Маяковского, 477
mustache; 31; bespoke; everyday; (970)268-13-42; Станислав Георгиевич Хохлов; 473948; Самара; Шоссейная проспект, 745
pinterest; 70; ugh; salvia; (997)386-20-84; Андрей Беляев; 741310; Липецк; Горького пр., 113
gentrify; 31; echo; keytar; (983)354-17-57; Евгений Крылов; 471115; Тула; проспект Партизанская, 858
goth; 97; hella; pinterest; (940)238-20-93; Елена Викторовна Самсонова; 193472; Владимир; ул. Подгорная, 581
selvage; 96; ramps; disrupt; (918)095-26-70; Татьяна Никитична Белякова; 428617; Ижевск; пл. Куйбышева, 414
tattooed; 80; mixtape; helvetica; (977)353-36-00; Лидия Викторовна Мишина; 302401; Оренбург; проспект Суворова, 879
+1; 97; tumblr; ramps; (964)579-71-37; Матвей Владиславович Кошелев; 897642; Сочи; пл. Степная, 245
cliche; 2; kinfolk; DIY; (941)131-06-65; Владимирова Татьяна; 635831; Новокузнецк; Ленина улица, 134
aesthetic; 98; ramps; gastropub; (947)127-19-18; Станислав Кононов; 402092; Ульяновск; Железнодорожная улица, 858
mustache; 2; retro; +1; (924)115-50-28; Игнатий Даниилович Лаврентьев; 578706; Саратов; проспект Лермонтова, 670
meh; 47; meditation; loko; (936)082-97-42; Владимир Аксенов; 433958; Астрахань; Трудовая пр., 524
fixie; 89; everyday; pop-up; (971)179-53-32; Горшков Игнатий; 730086; Астрахань; Победы проспект, 863
